cluster_id,source_batch,market,language,buyer_stage,intent_cluster,representative_keyword,query_variants,us_avg_12m_representative,cross_market_signal,target_url,page_role,evidence,current_performance,gap,business_fit_0_3,buyer_intent_0_3,evidence_advantage_0_3,competitiveness_0_3,demand_signal_0_3,weighted_score_0_3,priority,decision
KWM-018,product-material-us,US-discovery-plus-7-country,English,discovery,Merino base layer manufacturer,merino base layer manufacturer,,0,not-reported-7-country,/merino-wool-manufacturer/,Commercial,approved-merino-product-assets,insufficient-gsc-query-sample,natural-variant-and-demand-unknown,3,3,3,2,0,2.55,P2,support-and-observe
KWM-019,product-material-us,US-discovery,English,screening,Warp knit fabric manufacturer,warp knit fabric manufacturers,,14.2,cross-market-pending,/knitted-fabrics-manufacturer/,Commercial,capability-not-confirmed,insufficient-gsc-query-sample,equipment-and-structure-confirmation-required,1,3,0,2,1,1.45,HOLD,capability-gate
KWM-020,product-material-us,US-discovery,English,screening,Waterproof clothing manufacturer,waterproof clothing manufacturers,,8.3,cross-market-pending,/outdoor-clothing-manufacturer/,Commercial,capability-not-confirmed,insufficient-gsc-query-sample,waterproof-performance-proof-required,1,3,0,2,1,1.45,HOLD,capability-gate
KWM-021,product-material-us,US-discovery,English,discovery,Performance knitted fabric manufacturer,performance knitted fabric manufacturer,,0,US-exact-not-reported,/knitted-fabrics-manufacturer/,Commercial,approved-performance-fabric-positioning,insufficient-gsc-query-sample,natural-variant-and-country-demand-unknown,3,3,2,2,0,2.35,P2,validate-natural-variant
KWM-022,product-material-us,US-discovery-plus-7-country,English,discovery,Performance underwear manufacturer,performance underwear manufacturer,,0,not-reported-7-country,/underwear-manufacturer/,Commercial,approved-underwear-product-assets,insufficient-gsc-query-sample,exact-page-primary-not-tested,3,3,3,2,0,2.55,P1,validate-page-cluster
KWM-023,product-material-us,US-discovery-plus-7-country,English,discovery,Base layer manufacturer,base layer manufacturer,,0,not-reported-7-country,/underwear-manufacturer/,Commercial,approved-base-layer-product-scope,insufficient-gsc-query-sample,cross-page-overlap-with-outdoor-and-merino,3,3,3,1,0,2.40,P1,assign-underwear-owner-and-cross-link
KWM-024,product-material-us,US-discovery,English,discovery,Technical apparel manufacturer,technical apparel manufacturer,,0,US-exact-not-reported,/,Positioning,approved-technical-knitwear-positioning,insufficient-gsc-query-sample,broad-technical-textile-ambiguity,3,2,3,1,0,2.15,P2,positioning-support-only
KWM-025,product-material-us,US-discovery,English,screening,Knit manufacturer,knit manufacturers,,135.8,US-only,NONE,Exclude,insufficient-semantic-fit,not-applicable,sweater-flat-knit-fabric-and-garment-ambiguity,1,1,1,1,2,1.10,EXCLUDE,exclude
KWM-026,product-material-us,US-discovery,English,research,Outdoor clothing and gear companies,outdoor clothing and gear companies,,124.2,US-only,NONE,Exclude,consumer-brand-directory-intent,not-applicable,not-manufacturer-discovery,0,0,0,2,2,0.50,EXCLUDE,exclude
KWM-027,procurement-info-us,US-discovery,English,technical-confirmation,Generic clothing and garment tech pack,clothing tech pack,garment tech pack | apparel tech pack,965,cross-market-pending,/technical-knitwear-tech-pack-guide/,Guide,published-owner-approved-guide,insufficient-gsc-query-sample,broad-template-design-service-and-Nike-collision,3,2,3,1,3,2.45,P1,expand-only-after-serp-and-gsc-validation
KWM-028,procurement-info-us,US-discovery,English,technical-confirmation,Tech pack template and design service,clothing brand tech pack,clothing design tech pack | clothing tech pack example,66.7,cross-market-pending,/technical-knitwear-tech-pack-guide/,Guide,published-owner-approved-guide,insufficient-gsc-query-sample,template-download-and-designer-service-intent,1,1,1,1,2,1.10,P3,do-not-primary-target
KWM-029,procurement-info-us,US-discovery,English,technical-confirmation,Activewear and sportswear tech pack,activewear tech pack,sportswear tech pack,12.5,cross-market-pending,/technical-knitwear-tech-pack-guide/,Guide,published-owner-approved-cut-and-sew-guide,insufficient-gsc-query-sample,low-reported-demand,3,3,3,2,1,2.65,P1,keep-core-guide-cluster
KWM-030,procurement-info-us,US-discovery,English,technical-confirmation,Tech pack in apparel industry,tech pack in apparel industry,,4.2,cross-market-pending,/technical-knitwear-tech-pack-guide/,Guide,published-owner-approved-guide,insufficient-gsc-query-sample,student-and-general-education-intent,2,1,3,2,1,1.85,P2,support-only
KWM-031,procurement-info-us,US-discovery,English,due-diligence,Garment quality control,garment quality control,apparel quality control | quality control in garment industry,15,cross-market-pending,UNAPPROVED_FUTURE_QC_GUIDE,Future-Guide,owner-first-party-qc-evidence-needed,insufficient-gsc-query-sample,no-approved-dedicated-page-or-evidence-brief,3,2,1,2,1,2.00,P1,propose-content-brief-not-url
KWM-032,procurement-info-us,US-discovery,English,due-diligence,Garment QC checklist,clothing quality control checklist,garment qc checklist,10,cross-market-pending,UNAPPROVED_FUTURE_QC_GUIDE,Future-Guide,owner-first-party-qc-evidence-needed,insufficient-gsc-query-sample,no-approved-dedicated-page-or-evidence-brief,3,3,1,2,1,2.25,P1,propose-content-brief-not-url
KWM-033,procurement-info-us,US-discovery,English,due-diligence,Garment quality inspection,garment quality inspection,clothing quality inspection,10,cross-market-pending,UNAPPROVED_FUTURE_QC_GUIDE,Future-Guide,owner-first-party-qc-evidence-needed,insufficient-gsc-query-sample,inspection-stage-and-proof-boundary,3,2,1,2,1,2.00,P2,future-guide-support
KWM-034,procurement-info-us,US-discovery,English,due-diligence,Garment QC report,garment quality control report,,5.8,cross-market-pending,UNAPPROVED_FUTURE_QC_GUIDE,Future-Guide,owner-first-party-qc-evidence-needed,insufficient-gsc-query-sample,template-and-record-evidence-needed,2,2,1,2,1,1.70,P2,future-guide-support
KWM-035,procurement-info-us,US-discovery,English,due-diligence,Choose a clothing manufacturer,how to choose a clothing manufacturer,,8.3,cross-market-pending,/evaluate-technical-knitwear-oem/,Guide,published-owner-approved-oem-guide,insufficient-gsc-query-sample,startup-advice-noise,3,3,3,2,1,2.65,P1,keep-guide-cluster
KWM-036,procurement-info-us,US-discovery,English,due-diligence,Garment factory audit,garment factory audit,,3.3,cross-market-pending,/evaluate-technical-knitwear-oem/,Guide,published-owner-approved-oem-guide,insufficient-gsc-query-sample,compliance-audit-versus-production-fit-scope,3,3,2,2,1,2.45,P1,keep-guide-subtopic
KWM-037,procurement-info-us,US-discovery,English,due-diligence,Apparel supplier evaluation,apparel supplier evaluation,,0,US-exact-not-reported,/evaluate-technical-knitwear-oem/,Guide,published-owner-approved-oem-guide,insufficient-gsc-query-sample,unnatural-exact-phrase,3,3,3,2,0,2.55,P2,validate-natural-variant
KWM-038,procurement-info-us,US-discovery-plus-7-country,English,technical-confirmation,FLATLOCK vs OVERLOCK,flatlock stitch vs overlock,flatlock vs overlock | overlock vs flatlock,55,validated-7-country,/flatlock-vs-overlock-technical-knitwear/,Guide,published-owner-approved-production-guide,insufficient-gsc-query-sample,DIY-sewing-and-machine-noise,3,2,3,2,2,2.50,P0,keep-primary
KWM-039,procurement-info-us,US-discovery,English,technical-confirmation,FLATLOCK vs COVERSTITCH,flatlock stitch vs coverstitch,coverstitch vs flatlock,30.8,cross-market-pending,/flatlock-vs-overlock-technical-knitwear/,Guide,published-owner-approved-production-guide,insufficient-gsc-query-sample,adjacent-question-not-page-primary,3,2,3,2,2,2.50,P2,support-existing-guide
KWM-040,country-validation,7-country,English,discovery,Technical knitwear manufacturer,technical knitwear manufacturer,,NR,not-reported-7-country,/,Positioning,approved-homepage-positioning,insufficient-gsc-query-sample,positioning-led-term-without-demand-signal,3,2,3,1,0,2.15,P2,keep-current-until-broader-validation
KWM-041,page-gap,not-tested,English,discovery,Underwear manufacturer,underwear manufacturer,,NOT_TESTED,not-tested,/underwear-manufacturer/,Commercial,approved-underwear-page-and-assets,insufficient-gsc-query-sample,exact-current-page-primary-not-tested,3,3,3,1,0,2.40,P1,validate-page-primary
KWM-042,page-gap,not-tested,English,discovery,Silk wear manufacturer,silk wear manufacturer,,NOT_TESTED,not-tested,/silk-wear-manufacturer/,Commercial,approved-silk-page-and-assets,insufficient-gsc-query-sample,exact-current-page-primary-not-tested,3,3,3,1,0,2.40,P1,validate-page-primary
KWM-043,page-gap,not-tested,English,discovery,Sports accessories manufacturer,sports accessories manufacturer,,NOT_TESTED,not-tested,/sports-accessories-manufacturer/,Commercial,approved-accessories-page-and-assets,insufficient-gsc-query-sample,exact-current-page-primary-not-tested,3,3,3,1,0,2.40,P1,validate-page-primary
KWM-044,page-gap,not-tested,English,screening,OEM knitwear services,oem knitwear services,sampling to bulk production | knitwear production services,NOT_TESTED,not-tested,/services/,Process,approved-services-process,insufficient-gsc-query-sample,natural-query-language-not-tested,3,3,3,1,0,2.40,P2,process-support-not-commercial-cannibalization
KWM-045,page-gap,not-tested,English,technical-confirmation,Technical knitwear guides,technical knitwear guides,performance knitwear production guides,NOT_TESTED,not-tested,/technical-guides/,Hub,published-guides-hub,insufficient-gsc-query-sample,hub-demand-not-tested,2,1,3,2,0,1.75,P3,keep-navigation-hub
